condition,record_id,gold_family,left_seed,right_seed,top1_agreement,candidate_set_jaccard,valid_set_jaccard,rank_biased_overlap_p90
direct,nvbench2:test:578,arc,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:578,arc,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:583,rect,101,202,0.0,0.0,0.0,0.0
direct,nvbench2:test:583,rect,101,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:583,rect,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:589,arc,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:589,arc,101,303,1.0,0.2,1.0,0.321445
direct,nvbench2:test:589,arc,202,303,1.0,0.2,1.0,0.321445
direct,nvbench2:test:609,point,101,202,0.0,0.0,0.0,0.0
direct,nvbench2:test:609,point,101,303,0.0,0.0,0.0,0.0
direct,nvbench2:test:609,point,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:610,bar,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:610,bar,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:610,bar,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:611,bar+line,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:611,bar+line,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:611,bar+line,202,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:622,line,101,202,1.0,1.0,1.0,1.0
direct,nvbench2:test:622,line,101,303,1.0,1.0,1.0,1.0
direct,nvbench2:test:622,line,202,303,1.0,1.0,1.0,1.0
