record_id,model,condition,gold_family,gold_count,candidate_count,exact_recall@5,core_recall@5,component_identical_recall@5,matched_recall@5_tau80,matched_recall@5_tau90,exact_recovered,core_recovered,component_identical_recovered,matched_recovered_tau80,matched_recovered_tau90,elapsed_seconds,prompt_tokens,generated_tokens,total_tokens
nvbench2:dev:666,gemma3:27b,direct,line,2,2,0.0,0.0,0.0,0.5,0.5,0,0,0,1,1,5.7462425420000045,445,70,515
nvbench2:dev:672,gemma3:27b,direct,bar,4,2,0.0,0.0,0.0,0.5,0.25,0,0,0,2,1,5.050687749999952,310,69,379
nvbench2:dev:675,gemma3:27b,direct,bar,4,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.851633417000016,310,66,376
nvbench2:dev:681,gemma3:27b,direct,bar,2,3,0.0,0.0,0.0,1.0,1.0,0,0,0,2,2,6.433570957999905,388,90,478
nvbench2:dev:683,gemma3:27b,direct,bar,2,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,10.244463666999991,419,165,584
nvbench2:dev:684,gemma3:27b,direct,bar,2,3,0.0,0.0,0.0,0.5,0.0,0,0,0,1,0,6.150607000000036,390,85,475
nvbench2:dev:713,gemma3:27b,direct,bar,5,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.216236041999991,292,138,430
nvbench2:dev:715,gemma3:27b,direct,point,3,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.515060665999954,413,69,482
nvbench2:dev:716,gemma3:27b,direct,boxplot,4,3,0.75,0.75,0.75,0.75,0.75,3,3,3,3,3,5.610170667000034,414,71,485
nvbench2:dev:717,gemma3:27b,direct,boxplot,2,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.702175833000069,412,53,465
nvbench2:dev:718,gemma3:27b,direct,boxplot,2,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3.394037541999978,413,22,435
nvbench2:dev:719,gemma3:27b,direct,arc,2,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.12788850000004,431,65,496
nvbench2:dev:721,gemma3:27b,direct,boxplot,4,3,0.5,0.5,0.5,0.5,0.5,2,2,2,2,2,8.431807625000033,422,127,549
nvbench2:dev:723,gemma3:27b,direct,boxplot,2,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,4.819932750000021,408,57,465
nvbench2:dev:725,gemma3:27b,direct,boxplot,2,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3.6029263749999245,412,27,439
nvbench2:dev:732,gemma3:27b,direct,bar+line+rect,5,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.930448000000069,496,74,570
nvbench2:dev:733,gemma3:27b,direct,bar+line+rect,5,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,7.3484845829999585,494,99,593
nvbench2:dev:17,gemma3:27b,direct_rich,line,5,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,9.12877125,463,130,593
nvbench2:dev:22,gemma3:27b,direct_rich,boxplot,3,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3.6296694579999667,433,20,453
nvbench2:dev:23,gemma3:27b,direct_rich,point,4,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.016443332999984,434,56,490
nvbench2:dev:25,gemma3:27b,direct_rich,rect,5,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,5.513453625000011,434,63,497
nvbench2:dev:33,gemma3:27b,direct_rich,arc,4,3,0.0,0.0,0.0,0.25,0.0,0,0,0,1,0,5.6503157910000255,442,65,507
